TEI,TEO,TCI,TCO,Evap.Tons,kW,TEA,TCA,TRE,PRE,TRC,PRC,TRC_sub,T_suc,Tsh_suc,TR_dis,Tsh_dis,TO_sump,fault,level
56.22,49.82,66.08,72.02,57.27,44.47,9,3.6,40.8,35.8,75.3,79.4,6.2,47.5,6.7,110.3,35,112.7,normal,0
56.14,49.9,65.84,71.61,56.13,43.62,8.3,3.3,41.5,36.6,74.7,78.4,6.3,47.7,6.4,110.1,35,112,normal,0
56.14,49.94,65.8,71.57,55.41,43.63,8.5,4.1,41.3,36.4,75.3,79.4,6,47.7,6.1,110.3,35.3,112,normal,0
56.14,49.9,65.84,71.57,56.24,43.65,8.3,3.3,41.5,36.6,74.7,78.4,6,47.7,6.4,110.1,35.4,112,normal,0
56.14,49.9,65.84,71.61,56.02,43.65,8.7,3.8,41.3,36.4,75,78.9,5.8,47.7,6.1,110.1,35.1,112,normal,0
56.14,49.94,65.84,71.61,55.85,43.61,8.7,3.9,41.3,36.4,75.3,79.4,5.8,47.7,6.4,110.1,34.8,111.8,normal,0
54.01,50.14,64.65,68.38,34.91,35.11,8.1,2.8,42,37.1,70.9,72.5,4.1,49,6.7,122.2,51.3,113.3,normal,0
53.88,50.06,64.61,68.33,34.34,35.16,8,2.5,42.1,37.2,70.6,72,4.5,49,6.9,122.2,51.6,113.6,normal,0
53.84,50.02,64.61,68.29,34.44,35.1,8,2.7,42,37.2,70.6,72,4.1,49,6.9,122,51.4,113.6,normal,0
53.84,49.94,64.57,68.29,35.25,35.09,7.9,2.7,42.1,37.2,70.6,72,4.1,48.8,6.7,121.7,51.1,113.8,normal,0
53.84,49.94,64.53,68.25,35,35.09,7.9,2.7,42,37.2,70.9,72.5,4.2,49,6.7,122,51.1,114,normal,0
53.8,49.9,64.53,68.21,35.17,35.06,7.7,3,42.1,37.2,70.3,72.5,3.9,48.8,6.9,122,51.7,114,normal,0
53.76,49.9,64.53,68.21,34.84,35.06,8,2.2,42,37.1,70.3,71.5,3.9,49,6.9,122,51.4,114.5,normal,0
53.76,49.86,64.53,68.21,34.98,35.07,8,3,42,37.1,70.9,72.5,4.2,48.8,6.7,121.7,51.1,114.5,normal,0
55.93,46.79,85.45,94.13,82.75,79.4,7,3.6,39.8,34.8,97.5,119.1,7.1,43.8,4,123.5,26.5,115.6,normal,0
55.48,46.38,85.45,94.17,81.6,80.03,6.5,3.4,39.8,34.8,97.5,119.1,7.4,43.4,3.6,124,26.2,116,normal,0
55.36,46.25,85.33,94.05,81.95,79.78,6.7,4.4,39.4,34.5,98.2,120.6,8.1,43.2,4,124,25.8,115.7,normal,0
55.4,46.38,85.33,94.05,81.44,79.69,6.9,5.3,39.4,34.5,99,122.1,8.9,43.2,3.7,124,25,115.7,normal,0
55.32,46.25,85.33,94.05,81.07,79.79,6.6,5.3,39.5,34.6,99.2,122.6,9.1,43.4,3.9,124,24.5,116,normal,0
55.32,46.25,85.33,94.05,81.39,79.64,6.8,5.3,39.5,34.6,99.2,122.6,8.9,43.2,3.7,123.7,24.8,116.2,normal,0
51.39,45.15,85.7,91.75,55.95,60.89,5.5,3.9,39.4,34.5,95.3,114.7,6.5,43.2,3.7,127.4,32.1,116.4,normal,0
51.34,45.15,85.74,91.8,55.86,60.75,5.7,3.7,39.4,34.5,95,114.7,6.7,43.2,4,127.4,32.4,116.4,normal,0
51.47,45.23,85.78,91.84,56.11,60.92,5.8,3.1,39.5,34.6,94.8,113.7,6.5,43.4,3.9,127.4,32.6,116.7,normal,0
49.01,45.39,85.41,89.18,32.42,45.8,4.7,2.2,40.6,35.6,91.2,106.7,4.9,44.8,4.2,140,48.8,117.6,normal,0
48.89,45.27,85.45,89.18,32.36,45.78,4.7,2,40.6,35.6,90.7,105.7,4.5,44.6,4.2,140,49,117.8,normal,0
48.77,45.15,85.41,89.18,32.31,45.82,4.1,2.2,40.8,35.8,91.2,106.7,4.5,44.6,3.8,139.7,48.8,118.1,normal,0
48.64,45.02,85.41,89.13,32.48,45.79,4.3,2.6,40.8,35.8,91.5,107.2,4.9,44.6,4,139.7,48.5,118.5,normal,0
48.44,44.82,85.41,89.13,32.34,45.89,4,2.5,40.8,35.8,91.2,106.7,4.7,44.3,3.7,139.7,48.7,119,normal,0
49.17,45.64,85.29,88.85,31.7,45.07,5,2.5,40.6,35.6,91.2,106.7,4.6,44.9,4.5,141.7,50.5,119.2,normal,0
56.91,46.09,75.91,86.19,97.42,79.71,7.9,6.4,38.2,33.4,92.2,108.7,9.5,42.2,4.2,113.8,21.8,114.9,normal,0
56.5,45.48,75.87,86.43,99.24,81.93,7.1,6.4,38.2,33.4,92.5,109.2,10,41.9,3.7,114,21.3,114.5,normal,0
56.26,45.23,75.95,86.43,99.05,81.94,6.9,6.2,38.2,33.4,92.5,109.2,9.8,41.7,3.5,114,21.5,114.2,normal,0
56.26,45.19,75.91,86.47,99.86,82.05,6.9,6.1,38.2,33.4,92.2,108.7,10,41.7,3.4,114,21.6,114,normal,0
50.2,44.16,75.71,81.56,54.23,51.37,5.7,3.6,38.6,33.8,84.9,95.3,6.2,42.4,3.8,116.7,32,112.9,normal,0
50.24,44.25,75.71,81.52,53.92,51.4,5.5,3.6,38.5,33.8,84.9,95.3,6.2,42.4,3.8,117.1,32.2,112.9,normal,0
50.2,44.21,75.75,81.56,53.5,51.37,5.6,3.7,38.5,33.7,84.9,95.8,6.2,42.4,3.8,116.9,32,112.7,normal,0
50.16,44.16,75.75,81.56,53.98,51.4,5.6,3.6,38.5,33.7,84.9,95.3,6.2,42.5,3.9,116.9,31.8,112.4,normal,0
50.08,44.08,75.71,81.52,53.92,51.42,5.2,3.1,38.6,33.8,84.6,94.8,5.7,42.4,3.8,116.7,32.1,112.7,normal,0
49.95,43.96,75.67,81.48,53.54,51.29,5.3,4,38.6,33.8,85.2,95.8,6.2,42.2,3.7,116.7,31.5,112.7,normal,0
49.87,43.88,75.71,81.52,53.67,51.36,5,3.9,38.5,33.7,85.2,95.8,6.2,42.2,3.6,116.7,31.2,112.7,normal,0
48.32,45.31,75.54,78.65,26.83,37.2,4.5,1.8,40.8,35.9,80.4,87.4,3.7,44.9,4.1,136.5,56.1,115.1,normal,0
48.19,45.27,75.54,78.61,26.14,37.18,4.3,2,40.8,35.8,80.4,87.4,3.9,44.8,4,136.5,55.8,116.4,normal,0
48.15,45.19,75.62,78.65,26.65,37.29,4.3,1.5,40.8,35.9,80.1,86.9,3.4,44.9,4.1,136.5,56.4,116.4,normal,0
48.15,45.15,75.54,78.65,27.1,37.21,4.3,1.7,40.8,35.8,80.7,86.9,4.2,44.8,4.1,136.2,55.5,117.1,normal,0
48.07,45.15,75.54,78.65,26.39,37.28,4.3,1.8,40.8,35.9,80.4,87.4,3.7,44.8,4,136.2,55.8,117.6,normal,0
48.03,45.11,75.54,78.65,26.12,37.29,4.1,2.1,40.8,35.9,80.7,87.9,4.2,44.8,4,136.2,55.5,117.8,normal,0
55.52,45.02,71,80.99,94.74,71.36,7.1,6.2,37.7,33,86.6,98.8,9,41.7,4,108.4,21.8,114.2,normal,0
55.44,44.94,70.92,80.86,94.66,70.81,6.9,6.1,38,33.2,86.6,98.3,8.7,41.5,3.8,108.4,22.1,113.8,normal,0
55.36,44.9,70.83,80.78,93.7,70.98,7,5.6,37.6,32.9,86.3,97.8,9,41.5,3.9,108,21.7,113.6,normal,0
55.28,44.78,70.75,80.66,94.29,70.82,7.2,5.8,37.4,32.7,86.3,97.8,9.5,41.4,3.8,108.2,21.4,113.1,normal,0
55.28,44.78,70.71,80.66,94.49,70.86,7.2,5.9,37.4,32.7,86.3,97.8,8.7,41.4,4,108.2,21.9,112.7,normal,0
55.19,44.74,70.63,80.58,94.52,70.69,7,5.9,37.4,32.9,86.3,97.8,9,41.4,3.6,107.7,21.7,112.2,normal,0
51.14,43.96,65.67,72.39,64.45,48.93,6.7,4.3,37.2,32.5,76.3,80.9,6.2,41.5,4.3,105.5,29.5,110.1,normal,0
51.18,44,65.67,72.39,64.44,49,6.8,4.3,37.1,32.4,76.3,80.9,6.5,41.5,4.4,105.5,29.2,110.1,normal,0
51.26,44.04,65.72,72.39,64.75,48.98,6.9,4.4,37.1,32.4,76.6,81.4,6.6,41.7,4.5,105.5,28.9,109.8,normal,0
51.26,44.04,65.72,72.43,65.02,49.04,6.7,4.1,37.2,32.5,76.3,80.9,6.5,41.7,4.3,105.3,29.2,109.8,normal,0
51.26,44.08,65.72,72.43,64.43,49.02,6.7,4.3,37.2,32.5,76.3,80.9,6.6,41.7,4.5,105.3,29,109.8,normal,0
48.52,45.07,66.04,69.4,31.03,34.92,5.3,2,40,35,71.2,73,3.6,44.4,4.6,122.7,51.8,110.9,normal,0
48.44,44.98,66,69.36,31.08,34.86,4.9,2,39.8,35,71.2,73,3.6,44.4,4.4,123.2,52,111.3,normal,0
48.36,44.94,65.96,69.32,30.77,34.89,4.9,2.2,40,35,71.2,73,4,44.3,4.5,123,51.6,111.8,normal,0
49.01,45.68,65.72,68.95,29.88,34.22,5.5,2.2,40,35,70.9,72.5,3.7,45.1,5,125.2,54.6,113.3,normal,0
50.4,41.13,80.82,89.67,82.94,77.54,4.6,5.1,36.3,31.7,94.5,113.2,8.7,39.1,2.8,117.6,22.6,112.9,normal,0
50.32,41.09,80.78,89.63,83.08,77.73,4.6,4.9,36.3,31.7,94.3,112.7,8.5,38.9,2.6,117.6,23.5,112.9,normal,0
50.28,41.01,80.74,89.54,83.24,77.61,4.2,5.4,36.5,31.9,94.8,113.7,8.4,39.1,2.8,117.8,22.8,113.1,normal,0
50.16,40.97,80.7,89.58,82.93,77.5,4.4,4.9,36.3,31.7,94.3,112.7,8,38.9,2.6,117.4,23.3,113.1,normal,0
50.08,40.85,80.66,89.58,83.16,77.58,4.5,5.1,36.2,31.6,94.3,112.7,8.5,38.9,2.5,117.4,23.1,113.1,normal,0
50.03,40.81,80.7,89.54,83.25,77.66,4.3,4.9,36.2,31.6,94.3,112.7,8.5,38.7,2.2,117.1,22.9,113.1,normal,0
46.68,40.73,80.13,86.02,53.22,55.98,4.2,3.8,36.3,31.7,89.4,103.2,6.6,39.4,3.1,120.4,30.8,112.7,normal,0
46.76,40.81,80.21,86.15,53.08,56.95,4.4,3.6,36.3,31.7,89.6,103.7,6.3,39.4,3.3,120.2,30.8,112.9,normal,0
46.76,40.73,80.25,86.27,54.25,56.88,4.2,3.5,36.3,31.7,89.6,103.7,6.1,39.6,2.9,120.2,31,112.7,normal,0
46.68,40.64,80.29,86.27,53.98,57,4,3.9,36.5,31.9,89.9,104.2,6.4,39.4,2.9,120.2,30,112.9,normal,0
46.68,40.64,80.33,86.27,54.17,56.69,4,3.9,36.5,31.9,89.9,104.2,6.1,39.4,2.9,120.2,30.3,112.4,normal,0
43.44,39.95,80.25,84.06,31.24,42.84,2.4,2,37.6,32.9,85.5,96.3,3.2,39.8,2.1,130.7,45.2,113.1,normal,0
43.57,40.15,80.13,83.85,30.34,42.8,2.4,1.4,37.7,33,85.7,96.8,4.2,39.9,2.2,131.7,45.8,113.6,normal,0
43.69,40.32,80.13,83.85,30.34,42.89,2.5,1.8,37.7,33,85.5,96.3,4.2,40.1,2.4,132.3,46.5,114,normal,0
43.69,40.23,80.25,84.02,30.8,43.64,2.5,1.9,37.6,32.9,85.7,96.8,4,39.9,2.3,131.7,46.5,114.2,normal,0
43.65,40.15,80.21,83.93,31.19,43.46,2.7,2.2,37.4,32.7,86,97.3,4.5,39.9,2.5,132.6,46.3,114.7,normal,0
43.65,40.15,80.21,83.93,31.38,43.51,2.5,1.8,37.6,32.9,85.5,96.3,4.7,39.9,2.3,132.3,47.1,114.9,normal,0
43.65,40.15,80.21,83.89,31.23,43.48,2.7,2.3,37.4,32.5,86,97.3,4.7,39.9,2.7,132.3,46.3,115.1,normal,0
43.65,40.19,80.25,83.93,30.94,43.51,2.8,2.6,37.4,32.7,86.3,97.8,4.5,39.8,2.4,132.6,46.6,115.3,normal,0
43.73,40.23,80.17,83.89,31.35,43.47,2.7,2.2,37.4,32.7,85.7,96.8,5,39.9,2.5,132.6,46.9,115.6,normal,0
43.69,40.28,80.25,83.89,30.61,43.46,2.7,2.2,37.4,32.7,86,97.3,4.5,39.9,2.7,132.6,46.6,115.7,normal,0
51.63,40.56,70.71,81.23,99.88,78.37,4.8,6.5,35.1,30.6,87.7,100.3,9.9,37.7,2.3,107.7,20,112.9,normal,0
51.51,40.36,70.67,81.31,100.3,79.58,5.2,6,35,30.5,87.2,99.3,9.8,37.5,2.5,108,20.3,112,normal,0
51.43,40.23,70.67,81.35,100.5,80.18,5.1,6.4,35,30.5,87.4,99.8,9.6,37.3,2.8,108.2,21,112,normal,0
52.12,40.89,70.83,81.52,100.8,80.53,5.7,6.5,35.1,30.6,87.7,100.3,9.8,37.5,2.5,108.8,21.1,111.1,normal,0
52.16,40.93,70.79,81.48,100.5,80.53,5.6,6.4,35.1,30.6,87.4,100.3,9.5,37.8,2.7,108.6,21.4,111.1,normal,0
52.2,41.01,70.79,81.52,100.7,80.6,5.8,6.5,35.1,30.6,87.7,100.3,9.8,37.8,3.1,108.8,21.1,110.9,normal,0
45.78,39.01,71.2,77.79,60.17,52.28,3.1,3.8,35.6,31.1,81.3,88.9,6.8,37.8,2.4,108.2,26.7,109.8,normal,0
45.78,39.09,71.2,77.67,59.86,52.3,3.1,3.8,35.8,31.3,81.3,88.9,6.8,37.8,2.4,108.4,27.1,109.6,normal,0
45.82,39.13,71.2,77.59,59.63,52.36,3.7,4.2,35.4,30.9,81.5,89.4,6.9,37.8,2.2,108.2,26.7,109.4,normal,0
45.82,39.13,71.16,77.55,59.87,52.32,3.3,3.8,35.8,31.3,81.3,88.9,6.9,38,2,108.2,26.9,109.2,normal,0
45.86,39.17,71.16,77.59,60.08,52.39,3.5,4,35.6,31.1,81.3,88.9,6.7,38,2.2,108.2,27.1,109.4,normal,0
45.86,39.17,71.2,77.59,60.2,52.41,3.1,3.9,36,31.4,81.5,89.4,6.9,38,2.2,108.6,26.9,109,normal,0
45.86,39.17,71.2,77.59,59.85,52.34,3.7,4,35.4,30.9,81.5,89.4,7.2,38,2.2,108.4,26.6,109,normal,0
45.9,39.21,71.2,77.63,59.88,52.31,3.3,4,35.8,31.3,81.5,89.4,6.9,37.8,2,108.6,26.9,109,normal,0
43.65,40.15,71.82,75.54,31.3,38.87,2.7,1.9,37.2,32.5,77.3,82.4,4.4,39.8,2.4,124,46.7,110.7,normal,0
43.57,40.03,71.69,75.42,31.81,38.87,2.5,2.3,37.4,32.7,77.3,82.4,4,39.8,2.4,123.5,46.2,111.1,normal,0
43.44,39.91,71.65,75.3,31.57,38.79,2.6,2.1,37.2,32.5,77.3,82.4,4.2,39.8,2.6,123.5,45.9,111.3,normal,0
43.4,39.99,71.24,74.8,30.68,38.16,2.3,2,37.6,32.9,76.6,81.4,3.6,39.8,2.4,123.7,47.1,112.2,normal,0
43.36,39.99,71.24,74.76,30.32,38.09,2.7,1.7,37.4,32.7,76.3,80.9,4.2,39.9,2.7,123.7,47.7,112.4,normal,0
43.4,39.99,71.2,74.72,30.61,38.08,2.7,2.2,37.4,32.7,76.3,80.9,3.6,39.9,2.4,124.2,47.7,112.7,normal,0
43.4,40.03,71.2,74.72,30.29,38.12,2.5,2,37.4,32.7,76.6,81.4,3.9,39.8,2.4,124.2,47.4,112.9,normal,0
43.44,40.07,71.24,74.8,29.99,38.12,2.7,2.2,37.4,32.7,76.9,81.9,3.9,39.8,2.4,124.2,47.6,113.1,normal,0
49.87,39.99,66.37,75.66,88.82,64.51,4.5,5.9,35.3,30.8,81.3,88.9,9.5,37.7,2.6,102.8,21.3,111.6,normal,0
49.95,40.07,66.37,75.75,89.47,64.7,4.8,5.4,35.3,30.8,81,88.4,9.3,37.8,2.5,102.5,21.5,111.1,normal,0
50.12,40.15,66.45,75.79,89.22,65.11,4.8,5.4,35.1,30.6,81,88.4,9.5,37.7,2.6,102.7,21.5,110.7,normal,0
50.12,40.19,66.45,75.91,89.48,65.01,4.8,5.7,35,30.5,81.3,88.9,9.1,37.8,2.7,102.7,21.4,110.3,normal,0
50.2,40.28,66.53,75.91,88.75,65.13,5.1,5.7,35.1,30.6,81.5,89.4,9.2,37.8,2.7,102.5,21.2,109.8,normal,0
50.24,40.23,66.58,75.95,90.07,65.25,5.4,5.6,34.7,30.3,81.3,88.9,9.3,37.8,2.8,102.5,21,109.6,normal,0
50.2,40.28,66.58,75.91,89.44,65.73,5.5,5.6,34.7,30.3,81.3,88.9,9.1,37.7,3,102.8,21.2,109.4,normal,0
50.16,40.19,66.58,75.95,89.02,65.74,5,5.6,35.1,30.6,81.5,89.4,9.2,37.7,3,102.7,21.2,109.2,normal,0
50.24,40.23,66.58,75.95,89.75,65.8,5.2,6.1,34.7,30.3,81.8,89.9,9.2,37.5,2.5,102.7,20.9,108.8,normal,0
47.09,39.99,66.13,73,64.06,50.33,4.3,4.2,36,31.4,76.6,81.9,6.9,38.5,2.5,103.5,27.1,108.2,normal,0
47,39.87,66.08,72.96,64.35,49.29,3.8,3.8,36,31.4,76.6,80.9,6.8,38.5,2.5,103.7,26.9,108,normal,0
47.46,40.48,65.8,72.47,62.18,49.33,5.4,4.1,35,30.5,76.3,80.9,6.5,38.5,3.5,104.1,28,107.7,normal,0
47.5,40.52,65.88,72.47,62.61,49.43,5.3,4.3,35.1,30.6,76.3,80.9,6.5,38.5,3.5,104.1,27.8,108,normal,0
47.5,40.56,65.92,72.55,62.62,49.6,5.3,4,35.3,30.8,76.3,80.9,6.3,38.7,3.4,104.3,28,107.7,normal,0
47.62,40.6,65.96,72.59,62.84,49.61,5.4,4.1,35.1,30.6,76.3,81.4,6.5,38.7,3.6,104.3,28.2,107.7,normal,0
47.7,40.68,66.04,72.63,62.6,49.66,5.5,4.3,35,30.5,76.6,81.4,6.2,38.7,3.4,104.3,28.2,108,normal,0
43.93,40.36,65.59,69.28,32,36.24,3.9,2.6,36.3,31.7,71.6,73.5,3.7,39.8,3.3,117.6,46.4,109,normal,0
43.85,40.23,65.63,69.36,32.56,36.27,3.5,2.9,36.7,32.1,71.9,74,4.4,39.8,3.3,117.6,45.5,109.4,normal,0
43.77,40.23,65.63,69.36,31.9,36.31,3.6,2.7,36.5,31.9,71.9,74,4.4,39.8,3.3,117.6,45.7,109.6,normal,0
43.69,40.07,65.59,69.28,32.62,36.34,3.6,2.4,36.7,31.9,71.9,74,3.7,39.8,3.3,117.1,45.2,110.1,normal,0
43.65,40.07,65.59,69.28,32.35,36.32,3.4,2.7,36.5,31.9,71.9,74,4.4,39.8,3.1,117.1,45.2,110.1,normal,0
43.61,39.99,65.63,69.32,32.54,36.29,3.2,2,36.7,32.1,71.2,73,4.1,39.6,2.9,117.1,45.8,110.5,normal,0
43.57,39.95,65.59,69.28,32.63,36.32,3.4,2.4,36.5,31.9,71.6,73.5,3.9,39.6,3.1,117.1,45.9,110.7,normal,0
43.57,39.91,65.59,69.32,32.72,36.29,3.2,2.7,36.7,32.1,71.6,73.5,4.3,39.4,2.9,117.1,45.5,110.7,normal,0
43.52,39.91,65.59,69.28,32.39,36.31,3.1,2,36.7,32.1,71.2,73,4.3,39.6,2.9,117.1,45.9,111.1,normal,0
60.35,50.8,85.25,94.33,85.84,80.21,8.4,4.4,42,37.1,98.7,121.6,9.1,47,5,125.5,26.5,114.2,cf,1
60.27,50.76,85.29,94.38,85.5,80.55,8.8,4.4,41.8,36.9,98.7,121.6,8.9,47,5.2,125.7,26.5,114.5,cf,1
60.19,50.68,85.25,94.42,85.42,81.09,8.4,4.8,42,37.1,99.2,122.6,9.1,46.8,5,125.2,26.5,114.7,cf,1
60.11,50.59,85.29,94.46,85.53,81.21,8.8,5.1,41.6,36.7,99.5,123.1,9.2,46.8,5,125.7,26.2,114.9,cf,1
60.11,50.51,85.25,94.46,86.34,80.94,8.5,6.6,41.6,36.9,100.9,126.1,10.6,46.8,5,125.7,24.8,115.1,cf,1
60.11,50.59,85.21,94.38,85.67,80.99,8.8,6.4,41.6,36.7,100.7,125.6,10.4,46.8,5.2,126,25.3,115.1,cf,1
60.15,50.59,85.29,94.46,85.57,81.38,8.9,6.6,41.5,36.6,100.9,126.1,11,46.8,5.2,125.7,24.6,115.3,cf,1
60.11,50.55,85.29,94.5,86.03,81.46,8.5,6.5,41.8,36.9,100.9,126.1,10.8,46.8,5.2,125.7,24.9,115.6,cf,1
55.69,49.28,85.45,91.63,57.26,60.18,7.5,4.6,41.8,36.9,96,116.1,7.5,47,5,129.3,33,116.4,cf,1
